id,city,date,team1,team2,toss_winner,toss_decision,winner,player_of_match,venue
492,Hyderabad,05-02-2015,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Sunrisers Hyderabad,DA Warner,"Rajiv Gandhi International Stadium, Uppal"
493,Chandigarh,05-03-2015,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Mumbai Indians,LMP Simmons,"Punjab Cricket Association Stadium, Mohali"
494,Mumbai,05-03-2015,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,Rajasthan Royals,AM Rahane,Brabourne Stadium
495,Chennai,05-04-2015,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,SK Raina,"MA Chidambaram Stadium, Chepauk"
496,Kolkata,05-04-2015,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,UT Yadav,Eden Gardens
497,Mumbai,05-05-2015,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,Mumbai Indians,Harbhajan Singh,Wankhede Stadium
498,Bangalore,05-06-2015,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Royal Challengers Bangalore,CH Gayle,M Chinnaswamy Stadium
499,Mumbai,05-07-2015,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Sunrisers Hyderabad,EJG Morgan,Brabourne Stadium
500,Chennai,05-08-2015,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Mumbai Indians,HH Pandya,"MA Chidambaram Stadium, Chepauk"
501,Kolkata,05-09-2015,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,Kolkata Knight Riders,AD Russell,Eden Gardens
502,Raipur,05-09-2015,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,MC Henriques,Shaheed Veer Narayan Singh International Stadium
503,Mumbai,05-10-2015,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,AB de Villiers,Wankhede Stadium
504,Chennai,05-10-2015,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Chennai Super Kings,RA Jadeja,"MA Chidambaram Stadium, Chepauk"
505,Hyderabad,05-11-2015,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,DA Warner,"Rajiv Gandhi International Stadium, Uppal"
506,Raipur,05-12-2015,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,Delhi Daredevils,Z Khan,Shaheed Veer Narayan Singh International Stadium
507,Chandigarh,5/13/2015,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kings XI Punjab,AR Patel,"Punjab Cricket Association Stadium, Mohali"
508,Mumbai,5/14/2015,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians,HH Pandya,Wankhede Stadium
509,Hyderabad,5/15/2015,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,Royal Challengers Bangalore,V Kohli,"Rajiv Gandhi International Stadium, Uppal"
510,Chandigarh,5/16/2015,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,bat,Chennai Super Kings,P Negi,"Punjab Cricket Association Stadium, Mohali"
511,Mumbai,5/16/2015,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,SR Watson,Brabourne Stadium
512,Bangalore,5/17/2015,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Daredevils,A Chandila,M Chinnaswamy Stadium
513,Hyderabad,5/17/2015,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,Mumbai Indians,MJ McClenaghan,"Rajiv Gandhi International Stadium, Uppal"
514,Mumbai,5/19/2015,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,KA Pollard,Wankhede Stadium
515,Pune,5/20/2015,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,AB de Villiers,Maharashtra Cricket Association Stadium
516,Ranchi,5/22/2015,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,A Nehra,JSCA International Stadium Complex
517,Kolkata,5/24/2015,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians,RG Sharma,Eden Gardens
518,Mumbai,04-09-2016,Mumbai Indians,Rising Pune Supergiants,Mumbai Indians,bat,Rising Pune Supergiants,AM Rahane,Wankhede Stadium
519,Kolkata,04-10-2016,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,AD Russell,Eden Gardens
520,Chandigarh,04-11-2016,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,AJ Finch,"Punjab Cricket Association IS Bindra Stadium, Mohali"
521,Bangalore,04-12-2016,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bangalore,AB de Villiers,M Chinnaswamy Stadium
522,Kolkata,4/13/2016,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,RG Sharma,Eden Gardens
523,Rajkot,4/14/2016,Rising Pune Supergiants,Gujarat Lions,Rising Pune Supergiants,bat,Gujarat Lions,AJ Finch,Saurashtra Cricket Association Stadium
524,Delhi,4/15/2016,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,A Mishra,Feroz Shah Kotla
525,Hyderabad,4/16/2016,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,G Gambhir,"Rajiv Gandhi International Stadium, Uppal"
526,Mumbai,4/16/2016,Mumbai Indians,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,AJ Finch,Wankhede Stadium
527,Chandigarh,4/17/2016,Rising Pune Supergiants,Kings XI Punjab,Rising Pune Supergiants,bat,Kings XI Punjab,M Vohra,"Punjab Cricket Association IS Bindra Stadium, Mohali"
528,Bangalore,4/17/2016,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,Q de Kock,M Chinnaswamy Stadium
529,Hyderabad,4/18/2016,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,DA Warner,"Rajiv Gandhi International Stadium, Uppal"
530,Chandigarh,4/19/2016,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,RV Uthappa,"Punjab Cricket Association IS Bindra Stadium, Mohali"
531,Mumbai,4/20/2016,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,RG Sharma,Wankhede Stadium
532,Rajkot,4/21/2016,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,B Kumar,Saurashtra Cricket Association Stadium
533,Pune,4/22/2016,Royal Challengers Bangalore,Rising Pune Supergiants,Rising Pune Supergiants,field,Royal Challengers Bangalore,AB de Villiers,Maharashtra Cricket Association Stadium
534,Delhi,4/23/2016,Delhi Daredevils,Mumbai Indians,Mumbai Indians,field,Delhi Daredevils,SV Samson,Feroz Shah Kotla
535,Hyderabad,4/23/2016,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Mustafizur Rahman,"Rajiv Gandhi International Stadium, Uppal"
536,Rajkot,4/24/2016,Royal Challengers Bangalore,Gujarat Lions,Royal Challengers Bangalore,bat,Gujarat Lions,V Kohli,Saurashtra Cricket Association Stadium
537,Pune,4/24/2016,Rising Pune Supergiants,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,SA Yadav,Maharashtra Cricket Association Stadium
538,Chandigarh,4/25/2016,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Mumbai Indians,PA Patel,"Punjab Cricket Association IS Bindra Stadium, Mohali"
539,Hyderabad,4/26/2016,Sunrisers Hyderabad,Rising Pune Supergiants,Rising Pune Supergiants,field,Rising Pune Supergiants,AB Dinda,"Rajiv Gandhi International Stadium, Uppal"
540,Delhi,4/27/2016,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,Gujarat Lions,CH Morris,Feroz Shah Kotla
541,Mumbai,4/28/2016,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,RG Sharma,Wankhede Stadium
542,Pune,4/29/2016,Rising Pune Supergiants,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,DR Smith,Maharashtra Cricket Association Stadium
543,Delhi,4/30/2016,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,Delhi Daredevils,CR Brathwaite,Feroz Shah Kotla
544,Hyderabad,4/30/2016,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sunrisers Hyderabad,DA Warner,"Rajiv Gandhi International Stadium, Uppal"
545,Rajkot,05-01-2016,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,Kings XI Punjab,AR Patel,Saurashtra Cricket Association Stadium
546,Pune,05-01-2016,Rising Pune Supergiants,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,RG Sharma,Maharashtra Cricket Association Stadium
547,Bangalore,05-02-2016,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,AD Russell,M Chinnaswamy Stadium
548,Rajkot,05-03-2016,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,RR Pant,Saurashtra Cricket Association Stadium
549,Kolkata,05-04-2016,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,Kolkata Knight Riders,AD Russell,Eden Gardens
550,Delhi,05-05-2016,Delhi Daredevils,Rising Pune Supergiants,Rising Pune Supergiants,field,Rising Pune Supergiants,AM Rahane,Feroz Shah Kotla
551,Hyderabad,05-06-2016,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,B Kumar,"Rajiv Gandhi International Stadium, Uppal"
552,Bangalore,05-07-2016,Rising Pune Supergiants,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,V Kohli,M Chinnaswamy Stadium
553,Chandigarh,05-07-2016,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Kings XI Punjab,MP Stoinis,"Punjab Cricket Association IS Bindra Stadium, Mohali"
554,Visakhapatnam,05-08-2016,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Sunrisers Hyderabad,A Nehra,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
555,Kolkata,05-08-2016,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,P Kumar,Eden Gardens
556,Chandigarh,05-09-2016,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Royal Challengers Bangalore,SR Watson,"Punjab Cricket Association IS Bindra Stadium, Mohali"
557,Visakhapatnam,05-10-2016,Sunrisers Hyderabad,Rising Pune Supergiants,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,A Zampa,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
558,Bangalore,05-11-2016,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,KH Pandya,M Chinnaswamy Stadium
559,Hyderabad,05-12-2016,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,CH Morris,"Rajiv Gandhi International Stadium, Uppal"
560,Visakhapatnam,5/13/2016,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,Kings XI Punjab,MP Stoinis,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
561,Bangalore,5/14/2016,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,Royal Challengers Bangalore,AB de Villiers,M Chinnaswamy Stadium
562,Kolkata,5/14/2016,Rising Pune Supergiants,Kolkata Knight Riders,Rising Pune Supergiants,bat,Kolkata Knight Riders,YK Pathan,Eden Gardens
563,Chandigarh,5/15/2016,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,bat,Sunrisers Hyderabad,HM Amla,"Punjab Cricket Association IS Bindra Stadium, Mohali"
564,Visakhapatnam,5/15/2016,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians,KH Pandya,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
565,Kolkata,5/16/2016,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,V Kohli,Eden Gardens
566,Visakhapatnam,5/17/2016,Delhi Daredevils,Rising Pune Supergiants,Rising Pune Supergiants,field,Rising Pune Supergiants,AB Dinda,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
567,Bangalore,5/18/2016,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,Royal Challengers Bangalore,V Kohli,M Chinnaswamy Stadium
568,Kanpur,5/19/2016,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,DR Smith,Green Park
569,Raipur,5/20/2016,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,KK Nair,Shaheed Veer Narayan Singh International Stadium
570,Visakhapatnam,5/21/2016,Kings XI Punjab,Rising Pune Supergiants,Kings XI Punjab,bat,Rising Pune Supergiants,MS Dhoni,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
571,Kanpur,5/21/2016,Mumbai Indians,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,SK Raina,Green Park
572,Kolkata,5/22/2016,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,YK Pathan,Eden Gardens
573,Raipur,5/22/2016,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,V Kohli,Shaheed Veer Narayan Singh International Stadium
574,Bangalore,5/24/2016,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,AB de Villiers,M Chinnaswamy Stadium
575,Delhi,5/25/2016,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Sunrisers Hyderabad,MC Henriques,Feroz Shah Kotla
576,Delhi,5/27/2016,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,DA Warner,Feroz Shah Kotla
577,Bangalore,5/29/2016,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,BCJ Cutting,M Chinnaswamy Stadium
578,Kolkata,5/25/2017,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Royal Challengers Bangalore,Virat Kohli,Eden Gardens
